Buddhism_P,Christianity_Tot_P,Other_Religions_Tot_P,Hinduism_P,Islam_P,Judaism_P,Tot_P,Christian_Percent,SA2_CODE_2021
1330,5063,242,5626,1035,13,20822,24.3156277,120031396
159,1917,20,388,218,6,3636,52.72277228,120031576
714,3763,79,1437,284,32,11456,32.8474162,120031676
811,4579,62,735,223,24,12246,37.3918014,120031677
1803,3619,72,1710,264,10,15942,22.70104127,120031678
714,4890,55,377,151,16,10993,44.48285272,120031679
1297,4985,102,4499,417,7,16420,30.3593179,120031680
562,4711,73,927,509,10,9253,50.91321733,120031681
904,7835,194,821,363,215,21294,36.79440218,121011399
466,4147,66,524,167,95,11903,34.83995631,121011401
459,3095,87,826,249,74,9406,32.90452902,121011682
289,6670,73,105,69,251,13440,49.62797619,121011683
1413,6508,127,883,252,101,19601,33.20238763,121011684
272,6515,76,312,103,131,12928,50.39449257,121011685
429,7224,132,517,261,148,15888,45.46827795,121011686
341,6482,61,193,135,114,12996,49.8768852,121011687
589,9777,180,1264,518,80,22057,44.32606429,121021403
138,5831,39,141,102,61,11790,49.45716709,121021404
463,9674,123,773,232,38,19158,50.4958764,121021406
591,3932,224,1747,372,38,11943,32.92305116,121021577
413,4423,73,430,134,44,10629,41.61256939,121021578
450,4163,163,1708,346,89,11877,35.05093879,121021579
959,8726,197,547,295,381,22433,38.89805198,121031407
899,10723,161,415,195,337,24599,43.59120289,121031408
532,7957,147,483,193,201,17221,46.20521456,121031409
590,8997,239,471,206,1718,21665,41.52780983,121031410
393,9950,180,503,178,167,20251,49.13337613,121031411
425,9114,177,581,183,96,18191,50.10169864,121031412
402,8186,77,274,129,253,18905,43.3007141,121041413
476,6734,122,528,116,191,17916,37.58651485,121041414
400,7036,94,356,115,176,17183,40.94744806,121041416
410,4643,90,499,168,71,12441,37.32015111,121041417
223,6702,57,190,79,129,13763,48.69577854,121041688
180,7416,49,98,74,107,14565,50.91658084,121041689
196,10179,87,90,94,78,20732,49.09801273,122011418
209,9017,65,62,48,101,22438,40.18629111,122011419
121,5330,38,17,25,61,13052,40.83665339,122021420
74,5640,46,14,15,28,11243,50.16454683,122021421
95,6203,35,33,33,53,13681,45.34025291,122021422
124,7481,50,71,40,44,14634,51.12067787,122021690
94,5300,49,27,23,15,10874,48.74011403,122021691
280,7899,110,107,119,29,14547,54.29985564,122031424
67,4334,27,40,39,24,8046,53.86527467,122031425
214,6639,93,86,88,97,13161,50.4444951,122031427
296,9304,73,143,118,41,21828,42.62415246,122031429
210,8212,90,204,107,68,17550,46.79202279,122031430
32,1947,12,9,16,22,3786,51.42630745,122031432
89,5096,32,84,35,33,8652,58.89967638,122031692
141,7253,57,46,50,35,13980,51.88125894,122031693
134,4025,69,108,60,36,9116,44.15313734,122031694
1004,7194,292,928,307,49,17816,40.37943422,122031695
180,8901,103,100,67,56,17175,51.82532751,122031696
77,5848,37,58,28,38,11241,52.0238413,122031697
58,9023,32,20,54,12,13295,67.86761941,123011433
150,3583,52,79,277,0,6445,55.59348332,123011698
130,8521,85,146,249,3,14019,60.78179613,123011699
143,7519,87,172,464,11,11241,66.88906681,123011700
252,11416,121,241,483,9,19040,59.95798319,123011701
106,5120,122,244,278,9,9539,53.67438935,123011702
391,9951,189,398,1528,8,20011,49.72764979,123021436
708,10696,292,1075,2345,9,22084,48.43325485,123021437
469,10715,286,576,2051,11,20236,52.95018778,123021438
0,0,0,0,0,0,5,0,123021439
344,8653,185,721,1329,0,16729,51.72455018,123021441
564,8782,554,2208,3971,0,21335,41.16240919,123021443
609,11635,187,392,1126,10,21155,54.99881825,123021444
491,6760,252,2321,2528,4,14868,45.46677428,123021703
322,4339,184,1687,1258,3,10536,41.182612,123021704
446,7972,379,1554,2091,0,16720,47.67942584,123021705
